Hour,Marginal_Price_GBP,Wind_Generated_MWh,Solar_Generated_MWh,Gas_Generated_MWh,Demand_MWh,Supply_Shortage_MWh
1,68.242,4620.636688336765,0.0,15057.363311663235,19678.0,0.0
2,61.41779999999999,4597.671370887062,0.0,14522.328629112937,19120.0,0.0
3,62.270824999999995,4598.589675001962,0.0,14262.910324998038,18861.5,0.0
4,61.41779999999999,4603.88273309193,0.0,14104.11726690807,18708.0,0.0
5,61.41779999999999,4721.793569818956,24.978649296626855,14464.227780884417,19211.0,0.0
6,73.11642857142857,5238.8717044000905,913.1340953696437,15834.994200230265,21987.0,0.0
7,73.11642857142857,5235.334229486953,3174.5474950140833,16299.118275498966,24709.0,0.0
8,66.53595,5877.102168328659,5486.474990429964,14675.922841241376,26039.5,0.0
9,66.53595,6578.558095825599,7531.223327286816,12798.218576887584,26908.0,0.0
10,67.388975,7152.842613907836,8037.558362376268,12079.599023715895,27270.0,0.0
11,67.388975,8222.318107053661,7249.330090032163,12406.851802914178,27878.5,0.0
12,67.388975,7873.176824705901,5891.057329634262,14032.765845659836,27797.0,0.0
13,69.94805,7766.767130249113,6516.046511410255,13075.68635834063,27358.5,0.0
14,71.6541,7997.365915084967,6339.718706057567,12977.915378857466,27315.0,0.0
15,69.94805,8746.168685792982,6244.344188685591,12610.987125521428,27601.5,0.0
16,69.095025,9178.029464586298,5864.6697175905365,13670.300817823168,28713.0,0.0
17,80.9155142857143,9718.353643506527,4916.238136574595,15674.90821991888,30309.5,0.0
18,79.94062857142858,9724.121127026741,3385.8910596146375,17430.98781335862,30541.0,0.0
19,79.94062857142858,9634.71464259397,2299.5121152588886,17500.0,29731.5,297.273242147141
20,76.04108571428573,9895.97488225266,1624.5781300851775,17500.0,29066.5,45.94698766216243
21,76.04108571428573,9679.494618945257,612.8707924639544,17500.0,28155.0,362.63458859078673
22,73.11642857142857,9467.96366159228,73.48974915676942,16339.046589250951,25880.5,0.0
23,65.68292500000001,9857.597435931104,0.0027672303367818687,13546.89979683856,23404.5,0.0
24,56.11008888888889,10229.501724634527,0.0,11508.998275365473,21738.5,0.0
25,54.593599999999995,9970.339076710728,0.0,11034.160923289272,21004.5,0.0
26,56.11008888888889,10827.855463589103,0.0,9335.144536410897,20163.0,0.0
27,51.86392000000001,12446.14517521108,0.0,7357.354824788919,19803.5,0.0
28,53.22876000000001,12330.169046722838,0.0,7031.830953277162,19362.0,0.0
29,58.384822222222226,10808.312037138185,11.28649204286059,9167.401470818955,19987.0,0.0
30,68.242,9791.532067010028,568.2367204822272,12469.731212507744,22829.5,0.0
31,71.6541,9943.014698877148,2362.5657220419007,13387.91957908095,25693.5,0.0
32,72.507125,10171.0886354089,5281.521000276025,12005.890364315073,27458.5,0.0
33,65.96726666666667,10238.712828955238,7924.112001837211,9961.17516920755,28124.0,0.0
34,64.45077777777779,9114.561884198616,9255.958071558965,9397.98004424242,27768.5,0.0
35,60.735380000000006,8131.184244633594,10871.34345928578,8371.472296080627,27374.0,0.0
36,70.51673333333333,7359.233839055272,10722.183452682097,9164.082708262631,27245.5,0.0
37,73.54971111111111,6579.494264655987,10707.558588211381,9141.447147132632,26428.5,0.0
38,70.51673333333333,6160.923179656473,10877.447021958109,8761.12979838542,25799.5,0.0
39,64.8299,6009.8068204604115,11451.38978618373,8464.303393355856,25925.5,0.0
40,75.0662,6202.392548522193,9071.163877685043,11479.943573792765,26753.5,0.0
41,82.74342499999999,5746.683936862845,7619.722314339109,14489.593748798045,27856.0,0.0
42,96.51368571428571,4458.5682293665195,5891.109821469165,17500.0,28454.0,604.3219491643176
43,94.56391428571429,4360.853547826299,5356.203595185171,17500.0,28777.0,1559.9428569885276
44,90.66437142857144,4782.006121993513,3713.3635583637465,17500.0,28354.0,2358.63031964274
45,89.68948571428574,4913.892539397384,1411.7995451567915,17500.0,27798.0,3972.3079154458246
46,90.66437142857144,6123.604546469164,119.64032137466172,17500.0,25987.5,2244.255132156173
47,91.63925714285715,6313.910416538813,0.0027672303367818687,16792.08681623085,23106.0,0.0
48,78.4783,6850.998955685849,0.0,14745.501044314151,21596.5,0.0
49,81.8904,7735.818609858542,0.0,13346.681390141457,21082.5,0.0
50,72.79146666666666,8716.392207833182,0.0,11847.107792166818,20563.5,0.0
51,81.03737499999998,8231.365280406024,0.0,12058.134719593976,20289.5,0.0
52,84.44947499999999,7872.505878048903,0.0,12126.994121951098,19999.5,0.0
53,82.74342499999999,7366.759857102802,4.303847710853207,13031.436295186344,20402.5,0.0
54,91.63925714285715,7476.2658558682815,271.8612405998029,15502.372903531916,23250.5,0.0
55,91.63925714285715,8297.675728634862,1063.4860885369956,16977.83818282814,26339.0,0.0
56,87.7397142857143,8493.088055903336,1938.4003979299032,17469.51154616676,27901.0,0.0
57,87.7397142857143,8481.747100462486,3147.701296863911,17058.551602673604,28688.0,0.0
58,76.77225,10744.729851763863,4183.316385307322,13422.453762928815,28350.5,0.0
59,69.00024444444445,13177.354162270023,5173.167131581366,9840.97870614861,28191.5,0.0
60,64.8299,14539.897105636426,6546.495334938186,6935.607559425388,28022.0,0.0
61,64.14748,14214.809378983826,6734.29784148728,6973.892779528895,27923.0,0.0
62,61.41780000000001,14070.482819417317,6511.390285331901,7229.626895250782,27811.5,0.0
63,70.51673333333333,13463.934664232544,5084.24870412114,9602.316631646318,28150.5,0.0
64,72.79146666666666,12165.582600969425,4930.0166120468275,11755.900786983748,28851.5,0.0
65,93.58902857142859,10950.300638142875,3561.244211143836,15279.45515071329,29791.0,0.0
